ID,age,baselining,control,deaths,gametime,gender,gravity,level,level_pupdilations,leveltime,mean_pupilsize,threscount,threshold
a,28,True,False,2,2.0000000000000027,f,62.5,1,"[8450.0, 8489.0, 8548.0, 8588.0, 8626.0, 8656.0, 8674.0, 8707.0, 8715.0, 8730.0, 8734.0, 8876.0, 8860.0, 8873.0, 8877.0, 8899.0, 8920.0, 8923.0, 8957.0, 8973.0, 9001.0, 9023.0, 9039.0, 9632.0, 9607.0, 9634.0, 8118.0, 0.0, 7925.0, 9286.0, 9644.0, 9639.0, 9638.0, 9617.0, 9607.0, 9612.0, 9598.0, 9580.0, 9586.0, 9573.0, 9560.0, 9768.0, 9782.0, 9788.0, 9789.0, 9801.0, 9804.0, 9810.0, 9811.0, 9810.0, 9812.0, 9812.0, 9811.0, 9806.0, 9799.0, 9805.0, 9791.0, 9846.0, 9777.0, 9782.0]",2.0000000000000027,9136.6333333333332,0,
a,28,True,False,4,4.000000000000005,f,60.0,2,"[9778.0, 9774.0, 9772.0, 9759.0, 9760.0, 9764.0, 9783.0, 9773.0, 9785.0, 10108.0, 10107.0, 10100.0, 10106.0, 10098.0, 10095.0, 10096.0, 10105.0, 10099.0, 10079.0, 10069.0, 10044.0, 10031.0, 10016.0, 9995.0, 9991.0, 9990.0, 10000.0, 10006.0, 10016.0, 10054.0, 10014.0, 10003.0, 9987.0, 9979.0, 9961.0, 9960.0, 9960.0, 9959.0, 10096.0, 10107.0, 10097.0, 10106.0, 10099.0, 10097.0, 10098.0, 10084.0, 10004.0, 9990.0, 9975.0, 9974.0, 9957.0, 9953.0, 9931.0, 9921.0, 9900.0, 9992.0, 9972.0, 9975.0, 9978.0, 9968.0]",2.0000000000000027,9987.5,0,
a,28,True,False,7,6.000000000000008,f,57.5,3,"[9956.0, 9957.0, 9945.0, 10000.0, 9922.0, 9927.0, 9922.0, 9925.0, 9922.0, 9916.0, 9910.0, 9910.0, 9912.0, 9911.0, 9905.0, 9898.0, 9897.0, 9894.0, 9901.0, 9893.0, 9888.0, 9904.0, 9899.0, 9825.0, 9831.0, 9831.0, 9839.0, 9834.0, 9844.0, 9852.0, 9858.0, 9869.0, 9876.0, 10196.0, 10204.0, 10221.0, 10207.0, 10185.0, 10176.0, 10179.0, 10174.0, 10166.0, 10152.0, 10143.0, 10133.0, 10112.0, 10105.0, 10008.0, 9988.0, 9989.0, 9981.0, 9969.0, 9969.0, 9953.0, 9955.0, 9933.0, 9935.0, 10181.0, 10190.0, 10205.0]",2.0000000000000027,9986.3666666666668,0,
a,28,True,False,8,8.00000000000001,f,55.0,4,"[10203.0, 10207.0, 10203.0, 10203.0, 10191.0, 10188.0, 10173.0, 10170.0, 10161.0, 10141.0, 10141.0, 10139.0, 10127.0, 10116.0, 10112.0, 10108.0, 10104.0, 10104.0, 10105.0, 10099.0, 10099.0, 10101.0, 10100.0, 10107.0, 10103.0, 10103.0, 10105.0, 10063.0, 10045.0, 10055.0, 10046.0, 10058.0, 10057.0, 10061.0, 10075.0, 10320.0, 10322.0, 10315.0, 10321.0, 10320.0, 10319.0, 10311.0, 10312.0, 10308.0, 10298.0, 10298.0, 10290.0, 10275.0, 10265.0, 10248.0, 10249.0, 10249.0, 10242.0, 10237.0, 10195.0, 10230.0, 10222.0, 10220.0, 10223.0, 10239.0]",2.0000000000000027,10183.35,0,
a,28,True,False,9,10.000000000000014,f,52.5,5,"[10262.0, 10276.0, 10289.0, 10286.0, 10283.0, 10305.0, 10308.0, 10276.0, 10248.0, 10250.0, 10266.0, 10282.0, 10300.0, 10310.0, 10312.0, 10322.0, 10322.0, 10326.0, 10328.0, 10330.0, 10334.0, 10348.0, 10375.0, 10399.0, 10417.0, 10424.0, 10447.0, 10457.0, 10475.0, 10496.0, 10515.0, 10525.0, 10625.0, 10581.0, 10588.0, 10599.0, 10599.0, 10593.0, 10593.0, 10592.0, 10583.0, 10590.0, 10600.0, 10598.0, 10600.0, 10607.0, 10634.0, 10567.0, 10571.0, 10581.0, 10602.0, 10612.0, 10619.0, 10629.0, 10639.0, 10642.0, 10656.0, 10647.0, 10633.0, 10626.0]",2.0000000000000027,10468.316666666668,0,
a,28,True,False,11,12.000000000000018,f,50.0,6,"[10572.0, 10529.0, 10527.0, 10515.0, 10512.0, 10498.0, 10460.0, 10437.0, 10404.0, 10379.0, 10355.0, 10406.0, 10376.0, 10358.0, 10333.0, 10321.0, 10306.0, 10310.0, 10312.0, 10300.0, 10304.0, 10359.0, 10360.0, 10378.0, 10385.0, 10390.0, 10385.0, 10402.0, 10390.0, 10399.0, 10393.0, 10368.0, 10376.0, 10362.0, 10366.0, 10317.0, 10327.0, 10320.0, 10327.0, 10315.0, 10307.0, 10307.0, 10299.0, 10290.0, 10278.0, 10280.0, 10265.0, 10264.0, 10290.0, 10513.0, 10526.0, 10504.0, 10501.0, 10491.0, 10481.0, 10452.0, 10440.0, 10421.0, 10398.0, 10379.0]",2.0000000000000027,10385.316666666668,0,
a,28,True,False,12,14.000000000000021,f,47.5,7,"[10375.0, 10361.0, 10342.0, 10344.0, 10342.0, 10339.0, 10334.0, 10342.0, 10346.0, 10336.0, 10347.0, 10337.0, 10424.0, 10430.0, 10447.0, 10448.0, 10447.0, 10437.0, 10443.0, 10436.0, 10429.0, 10421.0, 10408.0, 10405.0, 10394.0, 10375.0, 10372.0, 10364.0, 10364.0, 10351.0, 10354.0, 10353.0, 10339.0, 10345.0, 10344.0, 10343.0, 10353.0, 10352.0, 10350.0, 10357.0, 10360.0, 10363.0, 10371.0, 10382.0, 10389.0, 10409.0, 10406.0, 10415.0, 10412.0, 10329.0, 10318.0, 10326.0, 10336.0, 10356.0, 10368.0, 10370.0, 10383.0, 10387.0, 10455.0, 10448.0]",2.0000000000000027,10376.883333333333,0,
a,28,True,False,13,16.000000000000025,f,45.0,8,"[10450.0, 10475.0, 10486.0, 10501.0, 10517.0, 10534.0, 10555.0, 10603.0, 10616.0, 10652.0, 10660.0, 10672.0, 10694.0, 10777.0, 10781.0, 10775.0, 10767.0, 10762.0, 10738.0, 10715.0, 10698.0, 10686.0, 10657.0, 10580.0, 10535.0, 10520.0, 10515.0, 10487.0, 10470.0, 10450.0, 10442.0, 10441.0, 10436.0, 10437.0, 10432.0, 10374.0, 10378.0, 10387.0, 10397.0, 10417.0, 10432.0, 10436.0, 10450.0, 10449.0, 10475.0, 10482.0, 10494.0, 10502.0, 10509.0, 10517.0, 10511.0, 10465.0, 10473.0, 10483.0, 10500.0, 10506.0, 10526.0, 10542.0, 10557.0, 10613.0]",2.0000000000000027,10539.85,0,
a,28,True,False,13,18.00000000000003,f,42.5,9,"[10557.0, 10589.0, 10596.0, 10616.0, 10617.0, 10632.0, 10652.0, 10658.0, 10669.0, 10673.0, 10697.0, 10703.0, 10700.0, 10707.0, 10709.0, 10718.0, 10725.0, 10723.0, 10744.0, 10753.0, 10661.0, 10670.0, 10675.0, 10696.0, 10703.0, 10720.0, 10720.0, 10752.0, 10752.0, 10750.0, 10777.0, 10786.0, 10790.0, 10804.0, 10805.0, 10817.0, 10832.0, 10823.0, 10746.0, 10758.0, 10761.0, 10775.0, 10785.0, 10792.0, 10790.0, 10796.0, 10819.0, 10814.0, 10823.0, 10834.0, 10844.0, 10852.0, 10850.0, 10835.0, 10770.0, 10783.0, 10794.0, 10802.0, 10807.0, 10809.0]",2.0000000000000027,10743.5,0,
a,28,True,False,14,20.000000000000032,f,40.0,10,"[10817.0, 10822.0, 10816.0, 10834.0, 10794.0, 10810.0, 10806.0, 10814.0, 10831.0, 10830.0, 10832.0, 10830.0, 10826.0, 10845.0, 10852.0, 10857.0, 10860.0, 10875.0, 10875.0, 10892.0, 10894.0, 10897.0, 10895.0, 10900.0, 10910.0, 10908.0, 10924.0, 10927.0, 10928.0, 10928.0, 10928.0, 10920.0, 10704.0, 10705.0, 10708.0, 10714.0, 10706.0, 10710.0, 10707.0, 10683.0, 10686.0, 10661.0, 10645.0, 10626.0, 10657.0, 10631.0, 10636.0, 10629.0, 10616.0, 10605.0, 10593.0, 10593.0, 10585.0, 10571.0, 10566.0, 10562.0, 10551.0, 10487.0, 10489.0, 10493.0]",2.0000000000000027,10753.266666666666,0,
