ID,age,baselining,control,deaths,gametime,gender,gravity,level,level_pupdilations,leveltime,mean_pupilsize,threscount,threshold
b,23,False,False,0,2.0000000000000027,f,15,1,"[10606.0, 10631.0, 10658.0, 10613.0, 10454.0, 10486.0, 10505.0, 10521.0, 10526.0, 10548.0, 10561.0, 10575.0, 10655.0, 10696.0, 10694.0, 10715.0, 10724.0, 10734.0, 10739.0, 10749.0, 10757.0, 10809.0, 10817.0, 10825.0, 10829.0, 10838.0, 10844.0, 10551.0, 10537.0, 10577.0, 10583.0, 10587.0, 10593.0, 10540.0, 10533.0, 10540.0, 10531.0, 10531.0, 10541.0, 10434.0, 10357.0, 10385.0, 10400.0, 10410.0, 10422.0, 10443.0, 10273.0, 10123.0, 10170.0, 10189.0, 10207.0, 10238.0, 10246.0, 10416.0, 10425.0, 10427.0, 10442.0, 10442.0, 10455.0, 10460.0]",2.0000000000000027,10535.283333333333,19,10609.519696338912
b,23,False,False,0,4.000000000000005,f,15,2,"[10479.0, 10487.0, 10516.0, 10506.0, 10527.0, 10534.0, 10542.0, 10564.0, 10241.0, 10185.0, 10231.0, 10247.0, 10268.0, 10347.0, 10472.0, 10485.0, 10508.0, 10518.0, 10544.0, 10557.0, 10562.0, 10588.0, 10585.0, 10611.0, 10618.0, 10635.0, 10650.0, 10661.0, 10683.0, 10696.0, 10703.0, 10720.0, 10729.0, 10736.0, 10745.0, 10754.0, 10749.0, 10754.0, 10770.0, 10775.0, 10781.0, 10790.0, 10623.0, 10621.0, 10645.0, 10656.0, 10665.0, 10670.0, 10674.0, 10662.0, 10654.0, 10625.0, 10600.0, 10567.0, 10547.0, 10543.0, 10536.0, 10531.0, 10355.0, 10124.0]",2.0000000000000027,10572.516666666666,47,10609.519696338912
b,23,False,False,0,6.000000000000008,f,15,3,"[10160.0, 10178.0, 10193.0, 10213.0, 10223.0, 9990.0, 9961.0, 9990.0, 9999.0, 9886.0, 9723.0, 9733.0, 9770.0, 9791.0, 9801.0, 9839.0, 9855.0, 9867.0, 9895.0, 9934.0, 9948.0, 9984.0, 9994.0, 10013.0, 10033.0, 10040.0, 10057.0, 10068.0, 9893.0, 9836.0, 9838.0, 9850.0, 9874.0, 9893.0, 9886.0, 9708.0, 9704.0, 9764.0, 9801.0, 9827.0, 9851.0, 9842.0, 9874.0, 9905.0, 9940.0, 9954.0, 9990.0, 9898.0, 9831.0, 9866.0, 9877.0, 9876.0, 9816.0, 9920.0, 9933.0, 9975.0, 9998.0, 10016.0, 10042.0, 10054.0]",2.0000000000000027,9924.5,47,10609.519696338912
b,23,False,False,0,8.00000000000001,f,16.5,4,"[10044.0, 9953.0, 9955.0, 9978.0, 9998.0, 10045.0, 10070.0, 10072.0, 10097.0, 10129.0, 10138.0, 10168.0, 10178.0, 10185.0, 10206.0, 10228.0, 10255.0, 10257.0, 10281.0, 10282.0, 10301.0, 10299.0, 10305.0, 10307.0, 10311.0, 10317.0, 10320.0, 10084.0, 9842.0, 9812.0, 9841.0, 9861.0, 9873.0, 9890.0, 9899.0, 9917.0, 9991.0, 9978.0, 10005.0, 10031.0, 10056.0, 10079.0, 10078.0, 10022.0, 9960.0, 9982.0, 10011.0, 10018.0, 10036.0, 10049.0, 10070.0, 9793.0, 9817.0, 9856.0, 9874.0, 9898.0, 9932.0, 9972.0, 9987.0, 10021.0]",2.0000000000000027,10053.566666666668,47,10609.519696338912
b,23,False,False,0,10.000000000000014,f,18.15,5,"[10182.0, 10234.0, 10246.0, 10266.0, 10271.0, 10286.0, 10305.0, 10337.0, 10370.0, 10376.0, 10382.0, 10120.0, 10144.0, 10165.0, 10172.0, 10190.0, 10208.0, 10205.0, 10280.0, 10291.0, 10288.0, 10290.0, 10298.0, 10303.0, 10310.0, 10311.0, 10230.0, 10224.0, 10252.0, 10265.0, 10297.0, 10308.0, 10325.0, 10340.0, 10350.0, 10365.0, 10381.0, 10383.0, 10403.0, 10409.0, 10425.0, 10430.0, 10431.0, 10439.0, 10449.0, 10467.0, 10268.0, 9964.0, 10014.0, 10034.0, 10041.0, 10062.0, 10189.0, 10252.0, 10284.0, 10289.0, 10336.0, 10522.0, 10556.0, 10581.0]",2.0000000000000027,10289.916666666666,47,10609.519696338912
b,23,False,False,0,12.000000000000018,f,19.965,6,"[10606.0, 10627.0, 10654.0, 10668.0, 10695.0, 10727.0, 10742.0, 10778.0, 10793.0, 10814.0, 10826.0, 10857.0, 10869.0, 10884.0, 10798.0, 10524.0, 10565.0, 10577.0, 10595.0, 10604.0, 10536.0, 10213.0, 10202.0, 10207.0, 10226.0, 10216.0, 10218.0, 10198.0, 10203.0, 10218.0, 10235.0, 10251.0, 10274.0, 10303.0, 10331.0, 10372.0, 10130.0, 10169.0, 10201.0, 10247.0, 10284.0, 10301.0, 10333.0, 10348.0, 10363.0, 10378.0, 10411.0, 10415.0, 10442.0, 10446.0, 10467.0, 10483.0, 10515.0, 10530.0, 10557.0, 10586.0, 10590.0, 10599.0, 10349.0, 10369.0]",2.0000000000000027,10465.316666666668,59,10609.519696338912
b,23,False,False,0,14.000000000000021,f,17.968,7,"[10378.0, 10383.0, 10400.0, 10406.0, 10400.0, 10124.0, 10057.0, 10048.0, 10070.0, 10090.0, 10113.0, 10111.0, 10126.0, 10148.0, 10161.0, 10173.0, 10089.0, 9974.0, 9974.0, 9987.0, 9990.0, 9999.0, 10014.0, 10032.0, 10048.0, 10075.0, 10093.0, 10005.0, 9963.0, 9962.0, 9977.0, 9990.0, 10003.0, 10022.0, 10041.0, 10064.0, 10095.0, 10119.0, 10157.0, 10184.0, 10086.0, 10109.0, 10116.0, 10144.0, 10160.0, 10179.0, 10198.0, 10194.0, 10221.0, 10236.0, 10248.0, 10059.0, 10096.0, 10131.0, 10142.0, 10148.0, 10177.0, 10195.0, 10214.0, 10239.0]",2.0000000000000027,10122.283333333333,59,10609.519696338912
b,23,False,False,0,16.000000000000025,f,19.765,8,"[10258.0, 10284.0, 10296.0, 10314.0, 10346.0, 10344.0, 10343.0, 10133.0, 10144.0, 10168.0, 10200.0, 10210.0, 10230.0, 10255.0, 10262.0, 10145.0, 9944.0, 9994.0, 10020.0, 10054.0, 10088.0, 10097.0, 10123.0, 10131.0, 10165.0, 10183.0, 10205.0, 10221.0, 10164.0, 10073.0, 10104.0, 10119.0, 10139.0, 10161.0, 10181.0, 10208.0, 10220.0, 10232.0, 10258.0, 10267.0, 10285.0, 10296.0, 10325.0, 10332.0, 10359.0, 10373.0, 10397.0, 10405.0, 10295.0, 10307.0, 10316.0, 10341.0, 10357.0, 10352.0, 10355.0, 10226.0, 10147.0, 10147.0, 10143.0, 10140.0]",2.0000000000000027,10219.683333333332,59,10609.519696338912
b,23,False,False,0,18.00000000000003,f,21.742,9,"[10145.0, 10132.0, 10149.0, 10157.0, 10172.0, 10163.0, 9967.0, 9996.0, 10020.0, 10048.0, 10079.0, 10088.0, 10114.0, 10123.0, 10152.0, 10173.0, 10138.0, 9911.0, 9937.0, 9960.0, 9976.0, 10009.0, 10036.0, 9849.0, 9878.0, 9906.0, 9941.0, 9983.0, 10051.0, 10305.0, 10327.0, 10351.0, 10383.0, 10408.0, 10446.0, 10468.0, 10561.0, 10570.0, 10599.0, 10616.0, 10627.0, 10640.0, 10648.0, 10664.0, 10668.0, 10674.0, 10629.0, 10517.0, 10523.0, 10551.0, 10554.0, 10554.0, 10579.0, 10572.0, 10595.0, 10611.0, 10626.0, 10657.0, 10667.0, 10684.0]",2.0000000000000027,10308.783333333333,66,10609.519696338912
b,23,False,False,0,20.000000000000032,f,21.38,10,"[10723.0, 10674.0, 10685.0, 10693.0, 10725.0, 10739.0, 10750.0, 10760.0, 10785.0, 10791.0, 10800.0, 10822.0, 10831.0, 10843.0, 10849.0, 10856.0, 10854.0, 10848.0, 10834.0, 10835.0, 10827.0, 10805.0, 10780.0, 10758.0, 10736.0, 10526.0, 10324.0, 10358.0, 10366.0, 10376.0, 10397.0, 10353.0, 10372.0, 10394.0, 10414.0, 10453.0, 10439.0, 10105.0, 10132.0, 10174.0, 10195.0, 10223.0, 10255.0, 10267.0, 10285.0, 10201.0, 10212.0, 10228.0, 10244.0, 10262.0, 10285.0, 10304.0, 10329.0, 10344.0, 10358.0, 10373.0, 10305.0, 10172.0, 10178.0, 10200.0]",2.0000000000000027,10500.1,85,10609.519696338912
